date,regulation,source,ingested_at,pokemon_name,teratype_name,usage_raw
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Incineroar,poison,3.706887622928791
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Incineroar,fighting,0.12627500896554256
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Incineroar,ground,0.04227759866708203
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Incineroar,stellar,0.12485010479262243
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Incineroar,electric,0.04680366602725017
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Incineroar,normal,0.006205499174878226
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Incineroar,psychic,0.002688558698861032
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Incineroar,rock,6.213970099588906e-07
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Tornadus,steel,1803.2337188982106
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Tornadus,dark,212.21990278694847
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Tornadus,grass,9.746359599697612
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Tornadus,flying,87.8765476329037
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Tornadus,ghost,462.14442913016586
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Tornadus,ground,17.22230538470032
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Tornadus,fairy,1.0014438913351207
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Tornadus,dragon,91.09657731022253
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Tornadus,fire,0.6758522600016634
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Tornadus,ice,0.16963326807701573
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Tornadus,water,47.01591765388809
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Tornadus,poison,5.177591094918381
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Tornadus,electric,3.382362123242098
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Tornadus,stellar,1.6263382956795258
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Tornadus,normal,0.210627935859948
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Tornadus,bug,0.07390249628831919
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Tornadus,psychic,0.0008049552121212056
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Tornadus,fighting,0.4417078489744229
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Tornadus,rock,0.016522093754174516
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Raging Bolt,fairy,1742.3968650145891
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Raging Bolt,electric,655.7773556593761
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Raging Bolt,grass,34.390355201284194
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Raging Bolt,water,14.820191713933712
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Raging Bolt,steel,51.465613165644704
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Raging Bolt,fire,22.053408505608072
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Raging Bolt,flying,6.25322570811495
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Raging Bolt,dragon,0.8766631559055608
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Raging Bolt,bug,35.093145823683884
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Raging Bolt,ghost,7.96706610711362
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Raging Bolt,psychic,49.46691122710804
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Raging Bolt,ice,0.4324673424831796
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Raging Bolt,dark,0.3846297563758371
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Raging Bolt,rock,1.0594858323997869e-11
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Raging Bolt,stellar,1.1203124976299947
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Raging Bolt,ground,0.02008360858192726
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Raging Bolt,normal,0.04815313785531333
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Raging Bolt,fighting,0.002826931039457581
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Raging Bolt,poison,4.86243814863196
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Ogerpon-Hearthflame,fire,1956.5937293612137
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Chien-Pao,grass,184.76616934918883
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Chien-Pao,ghost,680.0779015136582
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Chien-Pao,dark,17.087537952224388
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Chien-Pao,stellar,503.84015234272204
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Chien-Pao,ice,228.62491931199926
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Chien-Pao,water,10.291061130564813
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Chien-Pao,poison,53.63279311192655
