date,regulation,source,ingested_at,pokemon_name,ability_name,usage_raw
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Porygon2,trace,2.1133853880931452
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Porygon2,analytic,0.07870511864565644
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Arcanine-Hisui,intimidate,321.68627821837845
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Arcanine-Hisui,rockhead,1.9333081110048402
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Arcanine-Hisui,flashfire,0.25417199422302755
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Heatran,flashfire,308.8257691113569
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Heatran,flamebody,1.309768294408721
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Ursaluna-Bloodmoon,mindseye,320.8663401983275
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Smeargle,moody,247.40164929792908
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Smeargle,technician,59.34567406108637
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Smeargle,owntempo,1.5121815986508629
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Archaludon,stamina,218.23698893875027
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Archaludon,stalwart,30.516115686294874
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Archaludon,sturdy,18.082680559647702
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Pelipper,drizzle,266.686295897879
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Pelipper,keeneye,0.5247383214634027
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Pelipper,raindish,0.009308668701794698
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Iron Hands,quarkdrive,275.0956643804763
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Thundurus,prankster,219.8027270957332
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Thundurus,defiant,14.076525365854264
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Sinistcha,hospitality,233.50367337711276
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Sinistcha,heatproof,2.976837969351624
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Entei,innerfocus,232.4740882570064
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Entei,pressure,2.0167830382848893
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Articuno,snowcloak,233.6012131107393
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Articuno,pressure,0.552709164567628
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Kingambit,supremeoverlord,1.5714581606743163
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Kingambit,defiant,225.025358924215
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Kingambit,pressure,0.005353589068832265
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Grimmsnarl,prankster,189.40160377838293
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Grimmsnarl,frisk,5.4012550593304445
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Grimmsnarl,pickpocket,1.5486727218383887
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Moltres-Galar,berserk,177.67909744011652
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Hatterene,anticipation,0.006759397038203163
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Hatterene,magicbounce,179.22994711329665
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Hatterene,healer,0.3726616270161771
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Basculegion,swiftswim,22.173333209686444
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Basculegion,adaptability,126.38759916405047
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Basculegion,moldbreaker,0.0016675265930801708
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Regigigas,slowstart,148.88497809950096
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Iron Valiant,quarkdrive,137.26817257561245
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Terrakion,justified,129.96401775920856
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Annihilape,defiant,124.11690390877509
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Annihilape,vitalspirit,3.6105195241859165
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Annihilape,innerfocus,1.2083708792575645
