date,regulation,source,ingested_at,pokemon_name,usage_raw,raw_count
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Annihilape,0.014566699999999998,63036
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Walking Wake,0.0126038,58121
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Primarina,0.010843199999999999,39047
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Orthworm,0.0104344,14264
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Lilligant-Hisui,0.010393699999999999,42601
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Iron Bundle,0.010060500000000002,37417
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Regice,0.010059199999999999,10304
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Latios,0.0088193,18489
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Zapdos-Galar,0.008753499999999999,39395
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Okidogi,0.0085422,30563
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Brambleghast,0.0080675,3671
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Tyranitar,0.0076056000000000006,51574
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Metagross,0.0073733,26308
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Corviknight,0.0070855,26415
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Flamigo,0.0070419,16778
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Sneasler,0.0069797,42902
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Scream Tail,0.0067555,21968
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Armarouge,0.006572,28817
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Ogerpon,0.0065286,15050
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Muk-Alola,0.0064918,12813
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Zoroark-Hisui,0.0062651,28692
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Gallade,0.0060883,23099
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Drifblim,0.0060331000000000004,9662
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Goodra-Hisui,0.005938099999999999,16554
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Maushold,0.005594900000000001,36511
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Weezing,0.0054942,16766
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Empoleon,0.0054834,10314
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Volcarona,0.0054513999999999995,34130
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Excadrill,0.0049961,26406
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Registeel,0.0049281,9773
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Milotic,0.0047702,15523
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Baxcalibur,0.004724,21529
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Kommo-o,0.0046403,16606
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Dragapult,0.0044153,27651
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Scizor,0.0043579000000000005,19980
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Gothitelle,0.0042380000000000004,26824
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Sableye,0.0041747,16917
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Clefairy,0.0040923,22079
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Gastrodon,0.0039648,34275
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Iron Boulder,0.0035975,8541
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Bronzong,0.0035704,12501
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Pikachu,0.0033976,3216
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Oranguru,0.0030946000000000003,14435
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Gyarados,0.0030547,12278
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Zapdos,0.0030041,11780
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Latias,0.0029758000000000002,9331
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Thundurus-Therian,0.0028721000000000003,9111
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Fezandipiti,0.0027844000000000002,6119
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Sylveon,0.0027844000000000002,12888
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Brute Bonnet,0.0027371,15882
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Articuno-Galar,0.0026485,10014
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Tsareena,0.0026466000000000003,8001
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Iron Treads,0.0025596000000000004,7569
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Enamorus-Therian,0.0024871,8684
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Wo-Chien,0.0024642,8096
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Regieleki,0.0022889,16439
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Typhlosion-Hisui,0.0022836,25533
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Great Tusk,0.0022485,8608
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Cobalion,0.0021677,2274
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Indeedee,0.0020886,18462
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Garchomp,0.0020347,29858
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Garganacl,0.001974,18067
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Araquanid,0.0019128,14367
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Munkidori,0.0018221000000000001,3411
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Arcanine,0.0018212,8849
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Rhyperior,0.0016657,4587
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Enamorus,0.0016114999999999999,12583
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Comfey,0.0015918,12944
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Iron Moth,0.0015159,8582
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Kilowattrel,0.0014519000000000001,15103
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Ninetales,0.0014441,15692
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Murkrow,0.0013736,13886
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Salamence,0.0013274,12121
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Torterra,0.0013261,3715
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Wyrdeer,0.0012975,4288
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Spectrier,0.0012297,5760
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Hydrapple,0.0011431,5761
