date,regulation,source,ingested_at,pokemon_name,item_name,usage_raw
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Urshifu-Rapid-Strike,shellbell,2.073485827480681e-11
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Urshifu-Rapid-Strike,ejectpack,0.02416861062488951
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Urshifu-Rapid-Strike,roseliberry,6.050715484207103e-15
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Urshifu-Rapid-Strike,aguavberry,0.0001637711441296319
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Urshifu-Rapid-Strike,metronome,1.2882881983422578e-07
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Urshifu-Rapid-Strike,custapberry,0.0
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Urshifu-Rapid-Strike,bigroot,0.0003714634653291249
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Urshifu-Rapid-Strike,rawstberry,0.007714463859679166
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Urshifu-Rapid-Strike,fistplate,0.0
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Urshifu-Rapid-Strike,powerbracer,0.08872942339784262
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Urshifu-Rapid-Strike,roomservice,9.350957341780486e-08
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Urshifu-Rapid-Strike,persimberry,7.6625903326355e-06
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Urshifu-Rapid-Strike,cobaberry,0.0
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Urshifu-Rapid-Strike,grassyseed,0.005638420077318851
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Urshifu-Rapid-Strike,mentalherb,0.0
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Urshifu-Rapid-Strike,wacanberry,1.0663692151524629e-13
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Urshifu-Rapid-Strike,heavydutyboots,0.0
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Urshifu-Rapid-Strike,powerweight,0.0007750302159095779
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Urshifu-Rapid-Strike,razorfang,0.6419891052550073
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Urshifu-Rapid-Strike,flameorb,1.2830926043871926e-08
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Urshifu-Rapid-Strike,brightpowder,0.003266987361707774
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Urshifu-Rapid-Strike,bignugget,1.2171977090025266e-05
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Urshifu-Rapid-Strike,rindoberry,0.0
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Urshifu-Rapid-Strike,bindingband,1.0610914868980359e-08
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Urshifu-Rapid-Strike,silkscarf,7.174816296640074e-13
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Urshifu-Rapid-Strike,waterstone,0.0
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Urshifu-Rapid-Strike,powerband,1.0123307747633703e-09
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Urshifu-Rapid-Strike,redcard,0.0
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Flutter Mane,boosterenergy,1677.2635357294828
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Flutter Mane,choicespecs,1196.9216959495309
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Flutter Mane,focussash,156.22832284901293
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Flutter Mane,choicescarf,0.5234637547813048
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Flutter Mane,fairyfeather,44.610919610518565
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Flutter Mane,sitrusberry,19.067042674445215
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Flutter Mane,rockyhelmet,15.290312450195925
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Flutter Mane,lifeorb,15.575890280030658
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Flutter Mane,assaultvest,0.8021533184504526
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Flutter Mane,grassyseed,0.5320933271638515
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Flutter Mane,marangaberry,0.0016899195414231682
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Flutter Mane,brightpowder,0.011986459601239285
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Flutter Mane,weaknesspolicy,0.1769112319443974
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Flutter Mane,nothing,0.1487472629512704
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Flutter Mane,spelltag,0.0012113617676207666
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Flutter Mane,leftovers,0.42448425142260754
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Flutter Mane,safetygoggles,14.02874983920647
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Flutter Mane,ejectbutton,0.002927721811227635
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Flutter Mane,babiriberry,0.04780885308413363
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Flutter Mane,pixieplate,6.42935331514079
